,city,month,temperature_2m_mean_max,temperature_2m_mean_mean,temperature_2m_mean_min,temperature_2m_mean_std,precipitation_sum_max,precipitation_sum_mean,precipitation_sum_min,precipitation_sum_std,wind_speed_10m_max_max,wind_speed_10m_max_mean,wind_speed_10m_max_min,wind_speed_10m_max_std
62,London,2015-03-01,10.1,6.45483870967742,4.2,1.6636984321439627,6.1,0.6903225806451613,0.0,1.3287474901098095,42.6,22.58387096774194,11.3,8.276758494893741
63,London,2015-04-01,14.4,9.309999999999999,6.7,1.6822296370365544,5.4,0.82,0.0,1.525733288935362,29.6,18.84666666666667,7.6,6.480832925041261
64,London,2015-05-01,15.3,11.858064516129033,7.8,1.6078503648346525,12.0,1.716129032258065,0.0,2.8182851493054595,44.3,22.98064516129032,12.8,7.584432272967161
65,London,2015-06-01,19.9,15.386666666666665,10.9,2.232477104695254,6.3,0.9,0.0,1.6303162375694964,40.2,19.766666666666666,10.8,6.314260452140953
66,London,2015-07-01,25.9,17.419354838709676,13.7,2.3840329073286313,24.1,2.406451612903226,0.0,4.90883119040714,30.0,21.067741935483873,9.8,5.027284694330476
67,London,2015-08-01,21.0,17.003225806451614,14.5,1.5687540429627036,22.8,3.4516129032258065,0.0,5.959690761985443,33.3,18.44193548387097,8.1,5.532857862717265
68,London,2015-09-01,16.2,13.433333333333335,11.3,1.0736124431846528,14.7,1.9666666666666666,0.0,3.8170518803746,29.1,17.363333333333333,10.3,4.458659403695344
69,London,2015-10-01,15.5,11.541935483870969,7.3,1.6447439909295687,12.9,1.6516129032258062,0.0,3.4485621127016532,28.5,17.622580645161293,8.7,4.807820689766438
70,London,2015-11-01,14.4,10.050000000000002,1.2,3.5963343406384194,8.0,1.8333333333333335,0.0,2.379993238665176,45.9,26.866666666666664,7.4,9.913325526204904
71,London,2015-12-01,13.6,10.62258064516129,7.7,1.7734541958974404,7.5,1.7290322580645159,0.0,2.1863506196989686,41.1,29.083870967741937,13.9,6.658282900477848
72,London,2016-01-01,10.8,5.625806451612903,-0.7,3.227379508924176,11.3,2.335483870967742,0.0,3.1515655778355387,38.1,24.9741935483871,8.1,7.844402154485089
73,London,2016-02-01,11.2,5.106896551724137,0.9,2.9949876024645334,7.7,1.186206896551724,0.0,1.9838138121757574,49.8,25.220689655172414,8.9,10.156010863042944
74,London,2016-03-01,9.2,5.7129032258064525,1.6,2.038257742204335,14.6,2.058064516129032,0.0,3.399781776678065,48.0,21.935483870967737,6.8,9.705103413053594
75,London,2016-04-01,10.7,7.8566666666666665,4.9,1.7139756835142559,12.5,1.7866666666666666,0.0,2.508706677832683,32.1,19.166666666666668,8.8,5.488441354860879
76,London,2016-05-01,17.9,13.009677419354839,8.5,2.4096133629982606,11.6,1.5483870967741935,0.0,3.2817547102875655,31.7,19.138709677419357,11.6,5.700682849118741
77,London,2016-06-01,18.9,15.549999999999999,11.6,1.7016726051659918,22.0,3.75,0.0,5.571711183939938,32.8,17.41666666666667,7.6,6.122828022123906
78,London,2016-07-01,23.6,17.987096774193546,14.3,2.3366274750137745,6.3,0.7290322580645161,0.0,1.3572505414469593,31.0,18.429032258064513,5.8,6.10940223744719
